id	university	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references
6	Univ Graz	40.0	University_of_Graz	1585.0	352642	0	University_of_Graz	0	0	20210630235338	20210630235356.0	1029166363	14288	wikitext	282.0	2003-10-29	187.0	5330.0	9.0
8	Graz Univ Technol	40.0	Graz_University_of_Technology	1811.0	985188	0	Graz_University_of_Technology	0	0	20210626181333	20210624122804.0	1019599621	11728	wikitext	266.0	2004-09-14	132.0	9628.0	14.0
10	Univ Innsbruck	40.0	University_of_Innsbruck	1669.0	630651	0	University_of_Innsbruck	0	0	20210626181111	20210624143416.0	1018704964	14998	wikitext	272.0	2004-05-02	166.0	5561.0	3.0
14	Johannes Kepler Univ Linz	40.0	Johannes_Kepler_University_Linz	1966.0	1267093	0	Johannes_Kepler_University_Linz	0	0	20210626181521	20210623122544.0	1016738358	13211	wikitext	156.0	2004-12-11	82.0	3196.0	9.0
15	Univ Salzburg	40.0	University_of_Salzburg	1622.0	1267399	0	University_of_Salzburg	0	0	20210626181522	20210624135418.0	1023529717	9565	wikitext	140.0	2004-12-11	97.0	4463.0	
19	Vienna Univ Technol	40.0	Vienna_University_of_Technology	1815.0	1267354	0	TU_Wien	0	0	20210626181522	20210623124003.0	1029714251	18741	wikitext	406.0	2004-12-11	196.0	6977.0	13.0
21	Univ Nat Resources & Life Sci - Vienna	40.0	University_of_Natural_Resources_and_Life_Sciences,_Vienna	1872.0	1403871	0	University_of_Natural_Resources_and_Life_Sciences,_Vienna	0	0	20210626181634	20210623130847.0	1018894978	10474	wikitext	195.0	2005-01-17	75.0	2575.0	
22	Univ Vet Med Vienna	40.0	University_of_Veterinary_Medicine_Vienna	1767.0	1267435	0	University_of_Veterinary_Medicine_Vienna	0	0	20210626181522	20210623125846.0	1025980456	3269	wikitext	56.0	2004-12-11	37.0	638.0	1.0
24	Univ Vienna	40.0	University_of_Vienna	1365.0	53049	0	University_of_Vienna	0	0	20210627082740	20210623122040.0	1029724110	28830	wikitext	715.0	2002-05-23	466.0	21736.0	11.0
35	Univ Antwerp	56.0	Universiteit_Antwerpen		844674	0	University_of_Antwerp	0	0	20210628084033	20210628084343.0	1030835289	17551	wikitext	415.0	2004-07-20	201.0	4962.0	13.0
36	Vrije Univ Brussel	56.0	Vrije_Universiteit_Brussel	1834.0	385877	0	Vrije_Universiteit_Brussel	0	0	20210629135733	20210629140552.0	1029405007	34367	wikitext	571.0	2003-12-03	248.0	8098.0	17.0
40	Univ Libre Bruxelles	56.0	Université_Libre_de_Bruxelles		385994	0	Université_libre_de_Bruxelles	0	0	20210626180937	20210625152910.0	1030233881	26117	wikitext	533.0	2003-12-03	293.0	9221.0	15.0
41	Hasselt Univ	56.0	University_of_Hasselt	1971.0	1486059	0	Hasselt_University	0	0	20210626181700	20210623144454.0	1030039902	17754	wikitext	222.0	2005-02-09	125.0	2028.0	3.0
42	Ghent Univ	56.0	Universiteit_Gent		268040	0	Ghent_University	0	0	20210630224517	20210630225018.0	1031307332	31393	wikitext	633.0	2003-07-15	324.0	9658.0	23.0
43	Katholieke Univ Leuven	56.0	Katholieke_Universiteit_Leuven	1425.0	29975400	0	KU_Leuven	0	0	20210630195920	20210626192252.0	1028531265	47305	wikitext	1330.0	2002-10-18	556.0	27764.0	25.0
44	Univ Liège	56.0	Université_de_Liège		2273279	0	University_of_Liège	0	0	20210627082802	20210624141758.0	1025298891	16155	wikitext	260.0	2005-07-20	139.0	4154.0	11.0
45	Univ Catholique Louvain	56.0	Université_Catholique_de_Louvain		398478	0	Université_catholique_de_Louvain	0	0	20210630195540	20210630200259.0	1027358914	37130	wikitext	687.0	2003-12-12	354.0	11218.0	26.0
55	Univ Novi Sad	688.0	University_of_Novi_Sad	1960.0	3372159	0	University_of_Novi_Sad	0	0	20210630235338	20210630235357.0	998546033	14000	wikitext	189.0	2005-12-09	89.0	2549.0	3.0
78	Univ Zagreb	191.0	University_of_Zagreb	1669.0	899111	0	University_of_Zagreb	0	0	20210630235338	20210630235357.0	1022630373	30309	wikitext	425.0	2004-08-14	202.0	6477.0	18.0
81	Univ Cyprus	196.0	University_of_Cyprus	1989.0	2208141	0	University_of_Cyprus	0	0	20210626181955	20210623130523.0	1014766205	9676	wikitext	241.0	2005-07-10	136.0	3841.0	2.0
82	Brno Univ Technol	203.0	Brno_University_of_Technology	1899.0	1870698	0	Brno_University_of_Technology	0	0	20210626212149	20210627002056.0	1028818312	26557	wikitext	346.0	2005-05-11	101.0	2410.0	17.0
84	Masaryk Univ	203.0	Masaryk_University_in_Brno		1356109	0	Masaryk_University	0	0	20210627001535	20210627001735.0	1025262615	19648	wikitext	231.0	2005-01-02	144.0	5926.0	20.0
89	Palacký Univ Olomouc	203.0	Palacký_University,_Olomouc	1573.0	2080773	0	Palacký_University_Olomouc	0	0	20210626181933	20210624135700.0	1029626781	111274	wikitext	986.0	2005-06-20	167.0	2732.0	47.0
95	Charles Univ	203.0	Charles_University_in_Prague	1348.0	38091	0	Charles_University	0	0	20210627105200	20210627105515.0	1029398946	50523	wikitext	1064.0	2002-02-06	499.0	20402.0	37.0
97	Czech Tech Univ Prague	203.0	Czech_Technical_University_in_Prague	1707.0	25323835	0	Czech_Technical_University_in_Prague	0	0	20210626190322	20210629004335.0	1024900813	17374	wikitext	288.0	2004-08-31	162.0	4686.0	13.0
