grid_id	dimensions_wos
grid.412561.5	96,571
grid.27871.3b	93,953
grid.462338.8	93,951
grid.412608.9	93,841
grid.257160.7	93,361
grid.411389.6	93,275
grid.20561.30	93,066
grid.254147.1	92,7
grid.144022.1	92,689
grid.254145.3	92,568
grid.411351.3	92,241
grid.108266.b	92,155
grid.412243.2	92,094
grid.454711.2	92,076
grid.35155.37	91,984
grid.412638.a	91,977
grid.440649.b	91,897
grid.260565.2	91,795
grid.410625.4	91,734
grid.27446.33	91,663
grid.411641.7	91,634
grid.411427.5	91,548
grid.412896.0	91,478
grid.22935.3f	91,293
grid.412262.1	91,064
grid.263333.4	90,923
grid.464353.3	90,853
grid.412557.0	90,831
grid.412692.a	90,802
grid.469887.c	90,702
grid.163032.5	90,695
grid.412022.7	90,688
grid.412531.0	90,654
grid.66741.32	90,588
grid.440656.5	90,574
grid.256111.0	90,543
grid.433800.c	90,461
grid.412019.f	90,422
grid.412498.2	90,331
grid.411615.6	90,126
grid.440646.4	90,076
grid.440673.2	90,067
grid.412786.e	90,029
grid.413109.e	89,98
grid.263785.d	89,944
grid.448072.d	89,863
grid.411510.0	89,835
grid.413273.0	89,757
grid.260463.5	89,701
grid.412735.6	89,677
grid.28056.39	89,602
grid.258151.a	89,549
grid.411429.b	89,543
grid.453534.0	89,467
grid.410585.d	89,26
grid.145695.a	89,066
grid.412899.f	88,997
grid.34418.3a	88,93
grid.440581.c	88,921
grid.48166.3d	88,889
grid.256609.e	88,833
grid.412610.0	88,764
grid.32566.34	88,762
grid.440785.a	88,752
grid.412982.4	88,627
grid.411680.a	88,583
grid.6341.0	88,47
grid.411857.e	88,428
grid.256885.4	88,379
grid.263906.8	88,338
grid.64924.3d	88,31
grid.459584.1	88,235
grid.412246.7	88,209
grid.260474.3	88,129
grid.268415.c	88,101
grid.440622.6	87,981
grid.256922.8	87,927
grid.450257.1	87,925
grid.503241.1	87,86
grid.267134.5	87,843
grid.413072.3	87,818
grid.411503.2	87,67
grid.410595.c	87,655
grid.469325.f	87,654
grid.203507.3	87,649
grid.428986.9	87,648
grid.80510.3c	87,605
grid.440788.7	87,51
grid.412990.7	87,5
grid.444812.f	87,454
grid.6583.8	87,44
grid.4422.0	87,402
grid.260478.f	87,382
grid.411862.8	87,362
grid.411847.f	87,341
grid.411971.b	87,32
grid.411407.7	87,255
grid.258164.c	87,163
grid.216417.7	87,092
grid.413254.5	87,029
grid.67293.39	86,983
grid.411200.6	86,925
grid.412509.b	86,837
grid.497420.c	86,83
grid.437806.e	86,697
grid.410654.2	86,694
grid.13291.38	86,644
grid.440704.3	86,626
grid.412057.5	86,574
grid.410726.6	86,534
grid.30055.33	86,48
grid.263761.7	86,464
grid.59053.3a	86,435
grid.412449.e	86,392
grid.412099.7	86,369
grid.440650.3	86,316
grid.410561.7	86,309
grid.267139.8	86,304
grid.411288.6	86,119
grid.258676.8	86,032
grid.410645.2	86,012
grid.412514.7	85,954
grid.254224.7	85,946
grid.49100.3c	85,733
grid.20513.35	85,655
grid.412097.9	85,65
grid.255169.c	85,569
grid.255168.d	85,568
grid.253663.7	85,541
grid.413012.5	85,478
grid.216938.7	85,399
grid.479974.0	85,321
grid.443382.a	85,307
grid.412508.a	85,252
grid.22069.3f	85,245
grid.42687.3f	85,219
grid.13992.30	85,199
grid.256607.0	85,193
grid.453074.1	85,143
grid.412260.3	85,116
grid.41156.37	84,995
grid.268099.c	84,878
grid.411866.c	84,865
grid.69775.3a	84,788
grid.410737.6	84,785
grid.412172.3	84,769
grid.260542.7	84,643
grid.412017.1	84,615
grid.411496.f	84,608
grid.411201.7	84,534
grid.411751.7	84,507
grid.4818.5	84,505
grid.12981.33	84,464
grid.413028.c	84,459
grid.411291.e	84,433
grid.19477.3c	84,373
grid.411851.8	84,366
grid.411545.0	84,353
grid.11451.30	84,262
grid.4714.6	84,206
grid.260483.b	84,126
grid.412977.e	84,12
grid.256896.6	84,118
grid.222754.4	84,069
grid.263736.5	84,046
grid.218292.2	84,02
grid.14005.30	84,016
grid.411748.f	83,968
grid.33763.32	83,91
grid.233520.5	83,853
grid.440669.9	83,808
grid.289247.2	83,786
grid.417303.2	83,776
grid.440773.3	83,615
grid.49606.3d	83,605
grid.27255.37	83,6
grid.8991.9	83,598
grid.79703.3a	83,594
grid.412475.1	83,588
grid.202119.9	83,573
grid.412576.3	83,523
grid.412485.e	83,509
grid.10979.36	83,413
grid.263451.7	83,367
grid.411604.6	83,269
grid.440648.a	83,268
grid.412540.6	83,242
grid.49470.3e	83,235
grid.440725.0	83,158
grid.412010.6	83,147
grid.410745.3	83,135
grid.263817.9	83,114
grid.13402.34	83,111
grid.411404.4	83,067
grid.203458.8	83,026
grid.412030.4	83,011
grid.264381.a	83,003
grid.410570.7	82,988
grid.12155.32	82,982
grid.412345.5	82,922
grid.12955.3a	82,899
grid.440734.0	82,873
grid.4495.c	82,776
grid.15496.3f	82,759
grid.412673.5	82,755
grid.73113.37	82,727
grid.256155.0	82,726
grid.411202.4	82,723
grid.411863.9	82,695
grid.260664.0	82,67
grid.4491.8	82,668
grid.411703.0	82,642
grid.411445.1	82,611
grid.186775.a	82,598
grid.190737.b	82,597
grid.89957.3a	82,539
grid.33199.31	82,524
grid.37589.30	82,473
grid.24516.34	82,412
grid.12650.30	82,407
grid.56302.32	82,372
grid.5254.6	82,32
grid.413016.1	82,267
grid.61221.36	82,246
grid.48324.39	82,165
grid.8993.b	82,14
grid.11173.35	82,128
grid.258803.4	82,117
grid.134907.8	82,086
grid.8547.e	82,071
grid.262229.f	82,06
grid.263488.3	82,055
grid.1012.2	82,019
grid.285847.4	81,994
grid.411519.9	81,988
grid.412668.f	81,979
grid.5342.0	81,72
grid.5133.4	81,629
grid.9594.1	81,58
grid.4830.f	81,52
grid.11450.31	81,432
grid.8484.0	81,423
grid.411807.b	81,398
grid.19188.39	81,381
grid.5173.0	81,358
grid.31501.36	81,331
grid.254148.e	81,326
grid.45672.32	81,31
grid.284723.8	81,171
grid.440907.e	81,142
grid.5361.1	81,083
grid.7644.1	81,079
grid.440661.1	80,963
grid.252245.6	80,934
grid.494717.8	80,92
grid.35030.35	80,919
grid.462844.8	80,846
grid.12136.37	80,81
grid.11804.3c	80,795
