id	university	grid_id
6	Univ Graz	grid.5110.5
8	Graz Univ Technol	grid.410413.3
10	Univ Innsbruck	grid.5771.4
14	Johannes Kepler Univ Linz	grid.9970.7
15	Univ Salzburg	grid.7039.d
19	Vienna Univ Technol	grid.5329.d
21	Univ Nat Resources & Life Sci - Vienna	grid.5173.0
22	Univ Vet Med Vienna	grid.6583.8
24	Univ Vienna	grid.10420.37
35	Univ Antwerp	
36	Vrije Univ Brussel	grid.8767.e
40	Univ Libre Bruxelles	
41	Hasselt Univ	grid.12155.32
42	Ghent Univ	
43	Katholieke Univ Leuven	grid.5596.f
44	Univ Liège	
45	Univ Catholique Louvain	
55	Univ Novi Sad	grid.10822.39
78	Univ Zagreb	grid.4808.4
81	Univ Cyprus	grid.6603.3
82	Brno Univ Technol	grid.4994.0
84	Masaryk Univ	
89	Palacký Univ Olomouc	grid.10979.36
95	Charles Univ	grid.4491.8
97	Czech Tech Univ Prague	grid.6652.7
98	Univ Chem & Technol - Prague	grid.448072.d
99	Czech Univ Life Sci Prague	grid.15866.3c
101	Aalborg Univ	grid.5117.2
102	Aarhus Univ	grid.7048.b
109	Univ Copenhagen	grid.5254.6
111	Tech Univ Denmark	grid.5170.3
112	Univ South Denmark	grid.10825.3e
117	Univ Tartu	grid.10939.32
118	Åbo Akademi Univ	grid.13797.3b
123	Univ Helsinki	grid.7737.4
125	Univ Jyväskylä	grid.9681.6
128	Univ Oulu	grid.10858.34
131	Univ Tampere	
133	Univ Turku	grid.1374.1
156	Univ Macau	grid.437123.0
167	Univ Kebangsaan Malaysia	grid.412113.4
168	Autonomous Univ Nuevo Leon	grid.411455.0
210	RWTH Aachen Univ	
214	Univ Bayreuth	grid.7384.8
215	Freie Univ Berlin	grid.14095.39
216	Humboldt Univ Berlin	grid.7468.d
217	Tech Univ Berlin	grid.6734.6
218	Bielefeld Univ	
219	Ruhr-Univ Bochum	grid.5570.7
220	Univ Bonn	grid.10388.32
222	Tech Univ Braunschweig	
223	Univ Bremen	grid.7704.4
224	Chemnitz Univ Technol	grid.6810.f
226	Tech Univ Darmstadt	
227	TU Dortmund Univ	
228	Tech Univ Dresden	grid.4488.0
229	Heinrich Heine Univ Düsseldorf	grid.411327.2
232	Friedrich-Alexander-Univ Erlangen-Nürnberg	grid.5330.5
233	Univ Duisburg-Essen	grid.5718.b
235	Goethe Univ Frankfurt	
236	Univ Freiburg	grid.5963.9
237	Justus Liebig Univ Giessen	grid.8664.c
238	Georg-August-Univ Göttingen	grid.7450.6
239	Univ Greifswald	grid.5603.0
243	Univ Hamburg	grid.9026.d
244	Hannover Med Sch	grid.10423.34
245	Gottfried Wilhelm Leibniz Univ Hannover	
246	Heidelberg Univ	
247	Friedrich Schiller Univ Jena	grid.9613.d
248	Tech Univ Kaiserslautern	grid.7645.0
250	Univ Kassel	grid.5155.4
251	Kiel Univ	grid.9764.c
252	Univ Cologne	
253	Univ Konstanz	grid.9811.1
254	Leipzig Univ	
256	Otto von Guericke Univ Magdeburg	
257	Johannes Gutenberg Univ Mainz	grid.5802.f
259	Ludwig-Maximilians Univ München	
260	Tech Univ Munich	
261	Carl von Ossietzky Univ Oldenburg	grid.5560.6
263	Paderborn Univ	
265	Univ Potsdam	grid.11348.3f
266	Univ Regensburg	grid.7727.5
267	Saarland Univ	grid.11749.3a
269	Univ Stuttgart	grid.5719.a
270	Eberhard Karls Univ Tübingen	grid.10392.39
273	Julius Maximilian Univ Würzburg	grid.8379.5
275	Univ Aberdeen	grid.7107.1
276	Univ Bath	
277	Univ Birmingham	
280	Univ Bristol	
281	Univ W England - Bristol	
282	Univ Cambridge	grid.5335.0
283	Univ Kent	grid.9759.2
286	Univ Essex	grid.8356.8
287	Univ Ulster	grid.12641.30
288	Coventry Univ	grid.8096.7
289	Univ Warwick	grid.7372.1
290	Cranfield Univ	grid.12026.37
291	Univ Dundee	grid.8241.f
293	Durham Univ	
295	Heriot-Watt Univ	grid.472615.3
295	Heriot-Watt Univ	grid.9531.e
296	Univ Edinburgh	
299	Univ Exeter	grid.8391.3
301	Univ Glasgow	
302	Univ Strathclyde	grid.11984.35
303	Univ Surrey	grid.5475.3
305	Univ Hull	grid.9481.4
306	Keele Univ	
309	Univ Leeds	grid.9909.9
311	Univ Leicester	grid.9918.9
314	Liverpool John Moores Univ	grid.4425.7
315	Univ Liverpool	
316	City Univ London	
318	Imperial Coll London	grid.7445.2
320	London Sch Hyg & Trop Med	grid.8991.9
325	Univ Coll London	grid.83440.3b
326	Univ Greenwich	grid.36316.31
330	Loughborough Univ	grid.6571.5
331	Manchester Metropolitan Univ	grid.25627.34
