id	grid_id	short_name	full_name	Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos
6	grid.5110.5	Univ Graz	University of Graz	Austria	3435	1033	823	264	841	475	413.0	3435	2269.0	2273.0	28157.0	4107.0	205.0	31.8	68,745
8	grid.410413.3	Graz Univ Technol	Graz University of Technology	Austria	3481	680	361	540	1828	72	444.0	3481	2243.0	1917.0	30740.0	4238.0	432.0	22.3	67,938
10	grid.5771.4	Univ Innsbruck	University of Innsbruck	Austria	5704	1041	1361	296	2501	506	705.0	5704	4327.0	3957.0	46949.0	6932.0	741.0	26.3	78,239
14	grid.9970.7	Johannes Kepler Univ Linz	Johannes Kepler University Linz	Austria	2628	648	77	637	1028	238	291.0	2628	1658.0	1490.0	16034.0	2895.0	232.0	18.1	67,235
15	grid.7039.d	Univ Salzburg	University of Salzburg	Austria	1850	671	416	199	229	335	230.0	1850	1336.0	1163.0	14624.0	2302.0	98.0	30.9	68,57
19	grid.5329.d	Vienna Univ Technol	Vienna University of Technology	Austria	6679	370	703	1327	4150	128	822.0	6679	4793.0	4161.0	52558.0	8265.0	994.0	14.3	70,134
21	grid.5173.0	Univ Nat Resources & Life Sci - Vienna	University of Natural Resources and Life Sciences, Vienna	Austria	3806	510	2156	65	852	223	537.0	3806	2622.0	2210.0	32385.0	4922.0	394.0	31.2	81,358
22	grid.6583.8	Univ Vet Med Vienna	University of Veterinary Medicine Vienna	Austria	2129	912	1137	10	40	31	263.0	2129	1508.0	1411.0	14365.0	2488.0	189.0	49.9	87,44
24	grid.10420.37	Univ Vienna	University of Vienna	Austria	10052	2140	2651	1021	2911	1329	1451.0	10052	7482.0	6859.0	91794.0	13970.0	495.0	31.2	72,974
35	grid.5284.b	Univ Antwerp	University of Antwerp	Belgium	13187	5318	2376	755	3074	1664	2016.0	13187	9188.0	9074.0	118914.0	19779.0	962.0	33.9	80,393
36	grid.8767.e	Vrije Univ Brussel	Vrije Universiteit Brussel	Belgium	7628	3250	839	599	2065	876	1085.0	7628	5097.0	4472.0	71567.0	9894.0	456.0	31.1	76,904
40	grid.4989.c	Univ Libre Bruxelles	Université Libre de Bruxelles	Belgium	8368	3571	994	576	2543	684	1313.0	8368	6323.0	5816.0	107697.0	13189.0	704.0	30.7	78,691
41	grid.12155.32	Hasselt Univ	Hasselt University	Belgium	2652	1269	305	312	550	216	329.0	2652	1832.0	1811.0	22121.0	3123.0	173.0	32.2	82,982
42	grid.5342.0	Ghent Univ	Ghent University	Belgium	19365	7731	4014	1288	4042	2290	2984.0	19365	13016.0	11544.0	222902.0	29362.0	1311.0	34.1	81,72
43	grid.5596.f	Katholieke Univ Leuven	Katholieke Universiteit Leuven	Belgium	25559	12405	2824	1911	5386	3034	4306.0	25559	18281.0	15571.0	291131.0	40247.0	2187.0	32.2	78,608
44	grid.4861.b	Univ Liège	University of Liège	Belgium	7746	2930	2139	296	1909	473	1074.0	7746	5770.0	5042.0	76309.0	10871.0	536.0	32.0	79,561
45	grid.7942.8	Univ Catholique Louvain	Université Catholique de Louvain	Belgium	8091	3791	1031	692	1674	904	1356.0	8091	5753.0	4713.0	93725.0	12673.0	623.0	33.1	77,713
55	grid.10822.39	Univ Novi Sad	University of Novi Sad	Serbia	3262	759	890	518	865	230	196.0	3262	1528.0	1239.0	15898.0	2714.0	76.0	50.7	65,292
78	grid.4808.4	Univ Zagreb	University of Zagreb	Croatia	6984	2363	1401	789	2012	419	641.0	6984	3996.0	3567.0	45079.0	7508.0	500.0	47.3	68,916
81	grid.6603.3	Univ Cyprus	University of Cyprus	Cyprus	2487	457	156	408	1050	416	348.0	2487	1928.0	1456.0	22041.0	3243.0	107.0	29.2	70,951
82	grid.4994.0	Brno Univ Technol	Brno University of Technology	Czech Republic	2474	286	243	526	1390	29	197.0	2474	1209.0	988.0	12716.0	2126.0	90.0	18.6	60,775
