id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
6	Univ Graz	3435	1468	413	138	2876	2273
8	Graz Univ Technol	3481	1545	444	177	2927	1917
10	Univ Innsbruck	5704	2244	705	216	4838	3957
14	Johannes Kepler Univ Linz	2628	1250	291	124	2124	1490
15	Univ Salzburg	1850	851	230	99	1507	1163
19	Vienna Univ Technol	6679	2809	822	303	5581	4161
21	Univ Nat Resources & Life Sci - Vienna	3806	1690	537	185	3258	2210
22	Univ Vet Med Vienna	2129	916	263	93	1828	1411
24	Univ Vienna	10052	4201	1451	512	8508	6859
35	Univ Antwerp	13187	3964	2016	479	12229	9074
36	Vrije Univ Brussel	7628	2766	1085	290	6738	4472
40	Univ Libre Bruxelles	8368	3026	1313	332	7284	5816
41	Hasselt Univ	2652	917	329	94	2444	1811
42	Ghent Univ	19365	8145	2984	968	16372	11544
43	Katholieke Univ Leuven	25559	10855	4306	1462	21720	15571
44	Univ Liège	7746	3122	1074	328	6680	5042
45	Univ Catholique Louvain	8091	3246	1356	395	6850	4713
55	Univ Novi Sad	3262	1890	196	76	2408	1239
78	Univ Zagreb	6984	3503	641	204	5499	3567
81	Univ Cyprus	2487	918	348	90	2079	1456
82	Brno Univ Technol	2474	1307	197	77	1822	988
84	Masaryk Univ	6036	2528	634	185	5034	3046
89	Palacký Univ Olomouc	4386	1811	510	154	3623	2392
95	Charles Univ	15165	5965	1733	384	12948	8426
97	Czech Tech Univ Prague	4189	1614	376	88	3454	2315
98	Univ Chem & Technol - Prague	2403	1290	181	86	1878	703
99	Czech Univ Life Sci Prague	2459	1192	226	77	1923	1094
101	Aalborg Univ	8563	3704	1101	402	7099	4717
102	Aarhus Univ	16876	7502	2448	859	14072	10298
109	Univ Copenhagen	30654	13908	4969	1719	25151	19351
111	Tech Univ Denmark	13289	6030	2022	817	10925	9963
112	Univ South Denmark	11023	4198	1601	429	9644	7323
117	Univ Tartu	4397	1918	699	168	3573	2418
118	Åbo Akademi Univ	2206	894	258	86	1932	1020
123	Univ Helsinki	19713	7588	2754	780	17268	15372
125	Univ Jyväskylä	4561	1922	512	178	3862	3542
128	Univ Oulu	6252	2611	769	237	5372	4466
131	Univ Tampere	7133	3075	877	250	5976	4443
133	Univ Turku	7760	3070	1087	311	6819	4817
156	Univ Macau	5411	2351	721	296	4637	1699
167	Univ Kebangsaan Malaysia	4855	2766	490	244	3675	1983
168	Autonomous Univ Nuevo Leon	2180	1158	146	55	1701	851
210	RWTH Aachen Univ	14242	6538	1861	692	11483	7185
214	Univ Bayreuth	3325	1636	363	142	2598	1550
215	Freie Univ Berlin	20174	5289	3245	580	19103	12034
216	Humboldt Univ Berlin	19980	4722	3281	522	19126	12240
217	Tech Univ Berlin	6691	3036	887	343	5514	3555
218	Bielefeld Univ	3324	1579	435	154	2637	2018
219	Ruhr-Univ Bochum	8835	3917	1155	397	7210	4629
220	Univ Bonn	12238	4792	1942	589	10465	7826
222	Tech Univ Braunschweig	3685	1696	415	157	2932	1687
223	Univ Bremen	5078	1977	622	162	4383	2774
224	Chemnitz Univ Technol	1869	931	159	64	1455	733
226	Tech Univ Darmstadt	5471	2620	688	265	4302	2477
227	TU Dortmund Univ	3916	1725	417	130	3045	2047
228	Tech Univ Dresden	13278	5093	1922	531	11496	7229
229	Heinrich Heine Univ Düsseldorf	7604	3075	1057	294	6393	4502
232	Friedrich-Alexander-Univ Erlangen-Nürnberg	13121	6054	1815	656	10666	7053
233	Univ Duisburg-Essen	8784	3538	1406	386	7438	4789
235	Goethe Univ Frankfurt	11375	4602	1712	520	9668	6874
236	Univ Freiburg	12487	5014	2005	600	10620	7506
237	Justus Liebig Univ Giessen	6783	2596	862	263	5817	4043
238	Georg-August-Univ Göttingen	12212	4912	1883	624	10371	7365
239	Univ Greifswald	3831	1569	531	136	3261	2110
243	Univ Hamburg	15752	6093	2335	647	13489	9778
244	Hannover Med Sch	6553	2512	1033	258	5706	3983
245	Gottfried Wilhelm Leibniz Univ Hannover	4834	2339	586	204	3798	2386
246	Heidelberg Univ	21643	7823	3657	949	19186	14144
247	Friedrich Schiller Univ Jena	8319	3433	1148	334	7207	4350
248	Tech Univ Kaiserslautern	2179	1171	252	116	1678	1099
250	Univ Kassel	1891	943	229	91	1480	793
251	Kiel Univ	8011	3213	1243	345	6837	4479
252	Univ Cologne	10914	4169	1615	457	9484	6604
253	Univ Konstanz	3301	1525	457	160	2643	2423
254	Leipzig Univ	8505	3501	1210	334	7204	4788
256	Otto von Guericke Univ Magdeburg	4095	1720	543	159	3491	2119
257	Johannes Gutenberg Univ Mainz	10550	3933	1581	451	9098	6453
259	Ludwig-Maximilians Univ München	20844	7802	3667	1027	18122	13441
260	Tech Univ Munich	20650	8693	3333	1078	17282	11897
261	Carl von Ossietzky Univ Oldenburg	3154	1461	353	121	2544	1711
263	Paderborn Univ	1677	889	173	86	1265	752
265	Univ Potsdam	5029	1720	696	188	4496	3065
266	Univ Regensburg	5907	2842	826	318	4631	3416
267	Saarland Univ	5493	2510	654	201	4463	2828
269	Univ Stuttgart	5130	2773	670	322	3771	2316
270	Eberhard Karls Univ Tübingen	12931	5225	1874	546	11127	7803
273	Julius Maximilian Univ Würzburg	8947	3644	1467	434	7575	5646
275	Univ Aberdeen	6226	2339	1138	318	5472	5132
276	Univ Bath	6244	2725	949	361	5205	4773
277	Univ Birmingham	15827	6344	2778	903	13514	13396
280	Univ Bristol	16102	6541	2932	1012	13746	14548
281	Univ W England - Bristol	1999	830	219	86	1676	1604
282	Univ Cambridge	35202	14080	7302	2628	29917	29673
283	Univ Kent	3787	1637	535	190	3095	3339
286	Univ Essex	2584	1106	355	127	2177	2145
287	Univ Ulster	2448	1062	330	122	2046	1927
288	Coventry Univ	2471	1002	296	106	2108	1496
