grid_id	(No column name)
grid.508448.5	219
grid.414434.2	63
grid.510759.f	96
grid.451247.1	343
grid.418065.e	283
grid.449295.7	312
grid.439728.3	1
grid.455512.2	2
grid.510698.3	5
grid.480390.6	4
grid.466402.2	2
grid.448030.b	1
grid.468627.9	2
grid.480419.0	41
grid.490307.9	18
grid.465927.b	22
grid.468753.b	7
grid.503247.7	4
grid.507955.b	4
grid.424982.1	106
grid.487162.e	38
grid.421318.d	182
grid.475304.1	59
grid.424868.4	18
grid.470140.6	36
grid.470144.2	301
grid.510240.2	313
grid.416732.5	864
grid.467605.6	60
grid.436090.8	592
grid.458475.f	1192
grid.428941.2	2
grid.504546.6	3
grid.511998.d	1
grid.440185.c	12
grid.499936.8	3
grid.457801.f	1
grid.445224.1	1
grid.484610.f	2
grid.436837.d	1
grid.477526.5	3
grid.511131.6	21
grid.454096.a	4
grid.482501.a	12
grid.454754.3	1
grid.423956.f	15
grid.410522.0	6
grid.512759.d	43
grid.506923.b	86
grid.468114.e	4
grid.507568.9	3
grid.447469.c	2
grid.509566.9	4
grid.418476.8	463
grid.416051.7	332
grid.419997.b	73
grid.412071.1	1281
grid.415671.0	178
grid.472125.7	1
grid.448545.c	1
grid.436461.2	1
grid.454243.0	3
grid.421128.c	1
grid.460577.7	4
grid.430414.6	10
grid.497577.f	7
grid.502341.1	1
grid.454677.3	7
grid.491040.8	1
grid.11469.3b	165
grid.473841.d	182
grid.440382.9	33
grid.450885.4	106
grid.459113.b	4
grid.499585.c	40
grid.411159.9	919
grid.458395.6	1655
grid.213876.9	15699
grid.463298.2	474
grid.410363.3	782
grid.414703.5	366
grid.461898.a	400
grid.502268.b	17
grid.412489.2	165
grid.435078.d	87
grid.505939.3	93
grid.466345.6	19
grid.421632.0	22
grid.512141.2	5
grid.461360.6	3
grid.448763.a	20
grid.473213.0	8
grid.435474.5	4
grid.482606.e	4
grid.501327.2	7
grid.511057.7	10
grid.465374.7	421
grid.416116.5	407
grid.270680.b	497
grid.440886.6	239
grid.467056.6	35
grid.415135.7	91
grid.442750.0	1
grid.445124.2	17
grid.470405.2	9
grid.437477.4	9
grid.415863.d	17
grid.453170.4	9
grid.498182.e	2
grid.452249.c	46
grid.473515.1	25
grid.477057.6	2
grid.430344.4	34
grid.415408.c	23
grid.421660.7	28
grid.443001.2	10
grid.511745.3	56
grid.8171.f	941
grid.450709.f	235
grid.508812.6	2
grid.449018.0	131
grid.446283.f	1
grid.484130.a	13
grid.422946.f	3
grid.457116.0	6
grid.507614.1	1
grid.468148.7	1
grid.419724.d	2
grid.480313.d	14
grid.417170.4	40
grid.434582.c	15
grid.440233.2	17
grid.413600.0	17
grid.492673.d	27
grid.412467.2	2942
grid.411995.1	1611
grid.254147.1	5566
grid.202665.5	5386
grid.445432.0	218
grid.454310.7	33
grid.495707.8	491
grid.451924.f	118
grid.460017.4	503
grid.443622.5	703
grid.470132.3	190
grid.477038.f	23
grid.508094.0	3
grid.506739.e	3
grid.487129.1	1
grid.489116.3	2
grid.433278.9	1
grid.440913.b	50
grid.505497.a	6
grid.467606.5	9
grid.510849.1	2
grid.421073.3	5
grid.421416.4	11
grid.497266.8	305
grid.413161.0	761
grid.488784.f	33
grid.433001.5	12
grid.475558.e	71
grid.419351.b	60
grid.421845.e	2
grid.507660.2	5
grid.484747.c	1
grid.510627.7	2
grid.501971.b	1
grid.451107.6	2
grid.476649.e	1
grid.414099.1	30
grid.417211.0	3
grid.448841.5	30
grid.491192.6	4
grid.461128.8	21
grid.473679.8	5
grid.415606.0	611
grid.443252.6	241
grid.513018.e	33
grid.466063.1	40
grid.263306.2	789
grid.489159.8	58
grid.510200.6	2
grid.508119.4	10
grid.415605.3	22
grid.425119.a	24
grid.445206.1	9
grid.451788.7	4
grid.457863.b	2
grid.462490.d	105
grid.418764.8	12
grid.510334.0	22
grid.267039.9	14
grid.480110.c	10
