id	university	established_year
6	Univ Graz	1585
8	Graz Univ Technol	1811
10	Univ Innsbruck	1669
14	Johannes Kepler Univ Linz	1966
15	Univ Salzburg	1622
19	Vienna Univ Technol	1815
21	Univ Nat Resources & Life Sci - Vienna	1872
22	Univ Vet Med Vienna	1767
24	Univ Vienna	1365
35	Univ Antwerp	2003
36	Vrije Univ Brussel	1834
40	Univ Libre Bruxelles	1834
41	Hasselt Univ	1971
42	Ghent Univ	1817
43	Katholieke Univ Leuven	1425
44	Univ Liège	1817
45	Univ Catholique Louvain	1425
55	Univ Novi Sad	1960
78	Univ Zagreb	1669
81	Univ Cyprus	1989
82	Brno Univ Technol	1899
84	Masaryk Univ	1919
89	Palacký Univ Olomouc	1573
95	Charles Univ	1348
97	Czech Tech Univ Prague	1707
98	Univ Chem & Technol - Prague	1952
99	Czech Univ Life Sci Prague	1906
101	Aalborg Univ	1974
102	Aarhus Univ	1928
109	Univ Copenhagen	1479
111	Tech Univ Denmark	1829
112	Univ South Denmark	1998
117	Univ Tartu	1632
118	Åbo Akademi Univ	1918
123	Univ Helsinki	1640
125	Univ Jyväskylä	1934
128	Univ Oulu	1958
131	Univ Tampere	1925
133	Univ Turku	1920
156	Univ Macau	1981
167	Univ Kebangsaan Malaysia	1970
168	Autonomous Univ Nuevo Leon	1933
210	RWTH Aachen Univ	1870
214	Univ Bayreuth	1975
215	Freie Univ Berlin	1948
216	Humboldt Univ Berlin	1810
217	Tech Univ Berlin	1946
218	Bielefeld Univ	1969
219	Ruhr-Univ Bochum	1962
220	Univ Bonn	1818
222	Tech Univ Braunschweig	1745
223	Univ Bremen	1971
224	Chemnitz Univ Technol	1836
226	Tech Univ Darmstadt	1877
227	TU Dortmund Univ	1968
228	Tech Univ Dresden	1828
229	Heinrich Heine Univ Düsseldorf	1965
232	Friedrich-Alexander-Univ Erlangen-Nürnberg	1742
233	Univ Duisburg-Essen	1654
235	Goethe Univ Frankfurt	1914
236	Univ Freiburg	1457
237	Justus Liebig Univ Giessen	1607
238	Georg-August-Univ Göttingen	1734
239	Univ Greifswald	1456
243	Univ Hamburg	1919
244	Hannover Med Sch	1961
245	Gottfried Wilhelm Leibniz Univ Hannover	1831
246	Heidelberg Univ	1386
247	Friedrich Schiller Univ Jena	1558
248	Tech Univ Kaiserslautern	1970
250	Univ Kassel	1970
251	Kiel Univ	1665
252	Univ Cologne	1388
253	Univ Konstanz	1966
254	Leipzig Univ	1409
256	Otto von Guericke Univ Magdeburg	1993
257	Johannes Gutenberg Univ Mainz	1946
259	Ludwig-Maximilians Univ München	1472
260	Tech Univ Munich	1868
261	Carl von Ossietzky Univ Oldenburg	1973
263	Paderborn Univ	1972
265	Univ Potsdam	1991
266	Univ Regensburg	1962
267	Saarland Univ	1948
269	Univ Stuttgart	1829
270	Eberhard Karls Univ Tübingen	1477
273	Julius Maximilian Univ Würzburg	1402
275	Univ Aberdeen	1495
276	Univ Bath	1966
277	Univ Birmingham	1900
280	Univ Bristol	1876
281	Univ W England - Bristol	1992
282	Univ Cambridge	1209
283	Univ Kent	1965
286	Univ Essex	1963
287	Univ Ulster	1968
288	Coventry Univ	1992
289	Univ Warwick	1965
290	Cranfield Univ	1993
291	Univ Dundee	1881
293	Durham Univ	1832
295	Heriot-Watt Univ	1821
296	Univ Edinburgh	1583
299	Univ Exeter	1955
301	Univ Glasgow	1451
302	Univ Strathclyde	1796
303	Univ Surrey	1966
305	Univ Hull	1927
306	Keele Univ	1949
309	Univ Leeds	1904
311	Univ Leicester	1957
314	Liverpool John Moores Univ	1823
315	Univ Liverpool	1882
316	City Univ London	1894
318	Imperial Coll London	1907
320	London Sch Hyg & Trop Med	1899
325	Univ Coll London	1826
326	Univ Greenwich	1890
330	Loughborough Univ	1909
331	Manchester Metropolitan Univ	1970
332	Univ Manchester	1824
334	Open Univ	1969
335	Newcastle Univ	1834
337	Univ Nottingham	1881
339	Univ Oxford	1096
341	Univ Plymouth	1992
344	Univ Portsmouth	1869
348	Univ Sheffield	1828
349	Univ Southampton	1952
351	Univ Stirling	1967
353	Roy Holloway - Univ London	1985
354	Swansea Univ	1920
355	Brunel Univ London	1966
357	Univ York	1963
362	Natl & Kapodistrian Univ Athens	1837
363	Natl Tech Univ Athens	1836
365	Univ Ioannina	1964
366	Univ Crete	1973
367	Democritus Univ Thrace	1974
369	Univ Patras	1964
371	Aristotle Univ Thessaloniki	1925
373	Univ Thessaly	1984
375	Univ Windsor	1857
378	Budapest Univ Technol & Econ	1782
382	Eötvös Loránd Univ	1635
384	Semmelweis Univ	1769
385	Univ Debrecen	1538
389	Univ Pécs	1912
391	Univ Szeged	1581
394	Univ Iceland	1911
395	Univ Coll Cork	1845
399	Trinity Coll Dublin	1592
400	Univ Coll Dublin	1854
401	Dublin City Univ	1975
402	Natl Univ Ireland - Galway	1845
403	Univ Limerick	1972
405	Univ Politec Marche	1959
407	Univ Bari Aldo Moro	1925
409	Univ Bologna	1088
410	Brescia Univ	1982
411	Univ Cagliari	1606
416	Univ Catania	1434
417	Gabriele d'Annunzio Univ	1960
418	Univ Ferrara	1391
419	Univ Florence	1321
421	Univ Genoa	1481
422	Univ l'Aquila	1952
423	Univ Salento	1955
424	Univ Messina	1548
426	Politec Milano	1863
427	Univ Cattolica Sacro Cuore	1921
429	Univ Milan	1924
430	Univ Milano-Bicocca	1998
431	Univ Modena & Reggio Emilia	1175
433	Univ Campania Luigi Vanvitelli	1991
435	Univ Naples Federico II	1224
436	Univ Padova	1222
437	Univ Palermo	1806
438	Univ Parma	1502
439	Univ Pavia	1361
441	Univ Pisa	1343
446	Sapienza Univ Rome	1303
447	Univ Rome Tor Vergata	1982
448	Roma Tre Univ	1992
450	Univ Sassari	1562
451	Univ Siena	1240
453	Politec Torino	1859
454	Univ Turin	1404
455	Univ Trento	1962
456	Univ Trieste	1924
457	Univ Udine	1978
461	Univ Verona	1982
472	Vilnius Univ	1579
473	Univ Luxembourg	2003
479	Univ Amsterdam	1632
480	Vrije Univ Amsterdam	1880
482	Delft Univ Technol	1842
483	Eindhoven Univ Technol	1956
484	Univ Twente	1961
485	Univ Groningen	1614
487	Leiden Univ	1575
488	Maastricht Univ	1976
489	Radboud Univ	1923
490	Erasmus Univ Rotterdam	1913
491	Tilburg Univ	1927
493	Utrecht Univ	1636
494	Wageningen Univ & Res	1918
495	Norwegian Univ Life Sci	1859
497	Univ Bergen	1946
499	Univ Oslo	1811
500	Univ Stavanger	2005
501	UiT Artic Univ Norway	1968
502	Norwegian Univ Sci & Technol	1996
506	Gdańsk Univ Technol	1904
507	Univ Gdańsk	1970
509	Silesian Univ Technol	1945
511	Med Univ Silesia	1948
512	Univ Silesia Katowice	1968
514	AGH Univ Sci & Technol	1919
516	Jagiellonian Univ	1364
517	Łódź Univ Technol	1945
518	Univ Łódź	1945
519	Maria Curie-Sklodowska Univ	1944
521	Univ Warmia & Mazury Olsztyn	1999
522	Adam Mickiewicz Univ Poznan	1919
525	Poznań Univ Med Sci	1950
526	Poznań Univ Technol	1919
531	Nicolaus Copernicus Univ Toruń	1945
536	Med Univ Warsaw	1950
538	Univ Warsaw	1816
539	Warsaw Univ Technol	1826
540	Warsaw Univ Life Sci	1816
541	Wrocław Univ Environ & Life Sci	1951
542	Univ Wrocław	1702
543	Wrocław Med Univ	1950
545	Wrocław Univ Sci & Technol	1910
547	Univ Aveiro	1973
548	Univ Minho	1973
549	Univ Coimbra	1290
559	Univ Nova Lisboa	1973
561	Univ Porto	1911
570	Univ Bucharest	1864
571	Polytech Univ Bucarest	1864
572	Babeș-Bolyai Univ	1959
592	Nagoya Inst Technol	1949
594	Yokohama Natl Univ	1876
608	Comenius Univ Bratislava	1919
611	Slovak Univ Technol Bratislava	1937
619	Univ Ljubljana	1919
620	Univ Maribor	1975
621	Univ Alcalá	1499
622	Univ Alicante	1979
623	Univ Extremadura	1973
625	Univ Aut Barcelona	1968
626	Univ Barcelona	1450
627	Univ Politècnica Catalunya - BarcelonaTech	1971
628	Pompeu Fabra Univ	1990
631	Univ Cádiz	1979
634	Univ Castilla-La Mancha	1982
635	Univ Cordoba	1972
637	Univ Girona	1991
638	Univ Granada	1531
640	Univ Jaén	1993
641	Univ A Coruña	1989
642	Univ La Laguna	1927
643	Univ Las Palmas Gran Canaria	1989
644	Univ Basque Country	1980
646	Univ Lleida	1297
648	Univ Aut Madrid	1968
649	Complutense Univ Madrid	1293
650	Natl Distance Educ Univ	1972
651	Tech Univ Madrid	1971
654	Univ Malaga	1972
655	Rey Juan Carlos Univ	1996
656	Univ Murcia	1272
657	Univ Oviedo	1574
658	Univ Balearic Islands	1978
659	Univ Navarra	1952
662	Univ Salamanca	1134
663	Univ Cantabria	1972
664	Univ Santiago Compostela	1495
665	Univ Seville	1505
666	Univ Rovira & Virgili	1991
667	Univ Politècnica València	1968
668	Univ Valencia	1499
669	Univ Valladolid	1241
670	Univ Vigo	1990
671	Univ Zaragoza	1542
672	Chalmers Univ Technol	1829
673	Univ Gothenburg	1954
677	Linköping Univ	1969
678	Luleå Univ Technol	1971
679	Lund Univ	1666
682	Örebro Univ	1977
684	Karolinska Inst	1810
685	KTH Royal Inst Technol	1827
687	Stockholm Univ	1878
688	Umeå Univ	1965
689	Uppsala Univ	1477
690	Univ Basel	1460
693	Univ Bern	1834
695	Univ Fribourg	1889
696	Univ Geneva	1559
697	Ecole Polytech Féd Lausanne	1853
698	Univ Lausanne	1537
703	ETH Zurich	1855
704	Univ Zurich	1833
705	Çukurova Univ	1973
706	Sakarya Univ	1970
707	Ankara Univ	1946
708	Bilkent Univ	1984
710	Gazi Univ	1926
711	Hacettepe Univ	1967
712	Middle E Tech Univ	1956
715	Akdeniz Univ	1982
718	Bursa Uludağ Univ	1975
719	Pamukkale Univ	1992
722	Fırat Univ	1975
723	Atatürk Univ	1957
726	Süleyman Demirel Univ	1992
727	Boğaziçi Univ	1863
730	İstanbul Tech Univ	1773
731	İstanbul Univ	1453
732	Marmara Univ	1883
735	Yıldız Tech Univ	1911
736	Dokuz Eylül Univ	1982
737	Ege Univ	1955
739	Selçuk Univ	1975
740	Erciyes Univ	1978
741	Kocaeli Univ	1976
743	İnönü Univ	1975
747	Samsun Ondokuz Mayis Univ	1975
749	Karadeniz Tech Univ	1955
750	Yüzüncü Yıl Univ	1982
781	Queen's Univ Belfast	1810
785	Univ Sussex	1961
790	Aston Univ	1895
793	Univ Huddersfield	1825
794	Lancaster Univ	1964
796	Northumbria Univ	1992
797	Univ E Anglia	1963
800	Univ Reading	1926
802	Univ St Andrews	1410
807	Politecnico Bari	1990
811	Univ Insubria	1998
812	Univ Perugia	1308
813	Univ Salerno	1968
818	Vita-Salute San Raffaele Univ	1996
846	King's Coll London	1829
848	Bangor Univ	1884
849	Cardiff Univ	1883
854	Swed Univ Agr Sci	1977
876	Martin Luther Univ Halle-Wittenberg	1502
