id	University	university
6	University of Graz	Univ Graz
8	Graz University of Technology	Graz Univ Technol
10	University of Innsbruck	Univ Innsbruck
14	Johannes Kepler University Linz	Johannes Kepler Univ Linz
15	University of Salzburg	Univ Salzburg
19	Vienna University of Technology	Vienna Univ Technol
21	University of Natural Resources and Life Sciences, Vienna	Univ Nat Resources & Life Sci - Vienna
22	University of Veterinary Medicine Vienna	Univ Vet Med Vienna
24	University of Vienna	Univ Vienna
35	University of Antwerp	Univ Antwerp
36	Vrije Universiteit Brussel	Vrije Univ Brussel
40	Université Libre de Bruxelles	Univ Libre Bruxelles
41	Hasselt University	Hasselt Univ
42	Ghent University	Ghent Univ
43	Katholieke Universiteit Leuven	Katholieke Univ Leuven
44	University of Liège	Univ Liège
45	Université Catholique de Louvain	Univ Catholique Louvain
55	University of Novi Sad	Univ Novi Sad
78	University of Zagreb	Univ Zagreb
81	University of Cyprus	Univ Cyprus
82	Brno University of Technology	Brno Univ Technol
84	Masaryk University	Masaryk Univ
89	Palacký University Olomouc	Palacký Univ Olomouc
95	Charles University	Charles Univ
97	Czech Technical University in Prague	Czech Tech Univ Prague
98	University of Chemistry and Technology, Prague	Univ Chem & Technol - Prague
99	Czech University of Life Sciences Prague	Czech Univ Life Sci Prague
101	Aalborg University	Aalborg Univ
102	Aarhus University	Aarhus Univ
109	University of Copenhagen	Univ Copenhagen
111	Technical University of Denmark	Tech Univ Denmark
112	University of Southern Denmark	Univ South Denmark
117	University of Tartu	Univ Tartu
118	Åbo Akademi University	Åbo Akademi Univ
123	University of Helsinki	Univ Helsinki
125	University of Jyväskylä	Univ Jyväskylä
128	University of Oulu	Univ Oulu
131	University of Tampere	Univ Tampere
133	University of Turku	Univ Turku
156	University of Macau	Univ Macau
167	Universiti Kebangsaan Malaysia	Univ Kebangsaan Malaysia
168	Autonomous University of Nuevo Leon	Autonomous Univ Nuevo Leon
210	RWTH Aachen University	RWTH Aachen Univ
214	University of Bayreuth	Univ Bayreuth
215	Freie Universität Berlin	Freie Univ Berlin
216	Humboldt-Universität zu Berlin	Humboldt Univ Berlin
217	Technische Universität Berlin	Tech Univ Berlin
218	Bielefeld University	Bielefeld Univ
219	Ruhr-Universität Bochum	Ruhr-Univ Bochum
220	University of Bonn	Univ Bonn
222	Technische Universität Braunschweig	Tech Univ Braunschweig
223	University of Bremen	Univ Bremen
224	Chemnitz University of Technology	Chemnitz Univ Technol
226	Technische Universität Darmstadt	Tech Univ Darmstadt
227	TU Dortmund University	TU Dortmund Univ
228	Technische Universität Dresden	Tech Univ Dresden
229	Heinrich Heine University Düsseldorf	Heinrich Heine Univ Düsseldorf
232	Friedrich-Alexander-Universität Erlangen-Nürnberg	Friedrich-Alexander-Univ Erlangen-Nürnberg
233	University of Duisburg-Essen	Univ Duisburg-Essen
235	Goethe University Frankfurt	Goethe Univ Frankfurt
236	University of Freiburg	Univ Freiburg
237	Justus Liebig University Giessen	Justus Liebig Univ Giessen
238	Georg-August-Universität Göttingen	Georg-August-Univ Göttingen
239	University of Greifswald	Univ Greifswald
243	Universität Hamburg	Univ Hamburg
244	Hannover Medical School	Hannover Med Sch
245	Gottfried Wilhelm Leibniz Universität Hannover	Gottfried Wilhelm Leibniz Univ Hannover
246	Heidelberg University	Heidelberg Univ
247	Friedrich Schiller University Jena	Friedrich Schiller Univ Jena
248	Technische Universität Kaiserslautern	Tech Univ Kaiserslautern
250	University of Kassel	Univ Kassel
251	Kiel University	Kiel Univ
252	University of Cologne	Univ Cologne
253	University of Konstanz	Univ Konstanz
254	Leipzig University	Leipzig Univ
256	Otto von Guericke University Magdeburg	Otto von Guericke Univ Magdeburg
257	Johannes Gutenberg University Mainz	Johannes Gutenberg Univ Mainz
259	Ludwig-Maximilians-Universität München	Ludwig-Maximilians Univ München
260	Technical University of Munich	Tech Univ Munich
261	Carl von Ossietzky University of Oldenburg	Carl von Ossietzky Univ Oldenburg
263	Paderborn University	Paderborn Univ
265	University of Potsdam	Univ Potsdam
266	Universität Regensburg	Univ Regensburg
267	Saarland University	Saarland Univ
269	University of Stuttgart	Univ Stuttgart
270	Eberhard Karls University of Tübingen	Eberhard Karls Univ Tübingen
273	Julius-Maximilians-Universität Würzburg	Julius Maximilian Univ Würzburg
275	University of Aberdeen	Univ Aberdeen
276	University of Bath	Univ Bath
277	University of Birmingham	Univ Birmingham
280	University of Bristol	Univ Bristol
281	University of the West of England Bristol	Univ W England - Bristol
282	University of Cambridge	Univ Cambridge
283	University of Kent	Univ Kent
286	University of Essex	Univ Essex
287	University of Ulster	Univ Ulster
288	Coventry University	Coventry Univ
289	The University of Warwick	Univ Warwick
290	Cranfield University	Cranfield Univ
291	University of Dundee	Univ Dundee
293	Durham University	Durham Univ
295	Heriot-Watt University	Heriot-Watt Univ
296	The University of Edinburgh	Univ Edinburgh
299	University of Exeter	Univ Exeter
301	University of Glasgow	Univ Glasgow
302	University of Strathclyde	Univ Strathclyde
303	University of Surrey	Univ Surrey
305	University of Hull	Univ Hull
306	Keele University	Keele Univ
309	University of Leeds	Univ Leeds
311	University of Leicester	Univ Leicester
314	Liverpool John Moores University	Liverpool John Moores Univ
315	University of Liverpool	Univ Liverpool
316	City, University London	City Univ London
318	Imperial College London	Imperial Coll London
320	London School of Hygiene & Tropical Medicine	London Sch Hyg & Trop Med
325	University College London	Univ Coll London
326	University of Greenwich	Univ Greenwich
330	Loughborough University	Loughborough Univ
331	Manchester Metropolitan University	Manchester Metropolitan Univ
332	The University of Manchester	Univ Manchester
334	The Open University	Open Univ
335	Newcastle University	Newcastle Univ
337	University of Nottingham	Univ Nottingham
339	University of Oxford	Univ Oxford
341	University of Plymouth	Univ Plymouth
344	University of Portsmouth	Univ Portsmouth
348	The University of Sheffield	Univ Sheffield
349	University of Southampton	Univ Southampton
351	University of Stirling	Univ Stirling
353	Royal Holloway, University of London	Roy Holloway - Univ London
354	Swansea University	Swansea Univ
355	Brunel University London	Brunel Univ London
357	University of York	Univ York
362	National and Kapodistrian University of Athens	Natl & Kapodistrian Univ Athens
363	National Technical University of Athens	Natl Tech Univ Athens
365	University of Ioannina	Univ Ioannina
366	University of Crete	Univ Crete
367	Democritus University of Thrace	Democritus Univ Thrace
369	University of Patras	Univ Patras
371	Aristotle University of Thessaloniki	Aristotle Univ Thessaloniki
373	University of Thessaly	Univ Thessaly
375	University of Windsor	Univ Windsor
378	Budapest University of Technology and Economics	Budapest Univ Technol & Econ
382	Eötvös Loránd University	Eötvös Loránd Univ
384	Semmelweis University	Semmelweis Univ
385	University of Debrecen	Univ Debrecen
389	University of Pécs	Univ Pécs
391	University of Szeged	Univ Szeged
394	University of Iceland	Univ Iceland
395	University College Cork	Univ Coll Cork
399	Trinity College Dublin, The University of Dublin	Trinity Coll Dublin
400	University College Dublin	Univ Coll Dublin
401	Dublin City University	Dublin City Univ
402	National University of Ireland, Galway	Natl Univ Ireland - Galway
403	University of Limerick	Univ Limerick
405	Università Politecnica delle Marche	Univ Politec Marche
407	University of Bari Aldo Moro	Univ Bari Aldo Moro
409	University of Bologna	Univ Bologna
410	Brescia University	Brescia Univ
411	University of Cagliari	Univ Cagliari
416	University of Catania	Univ Catania
417	Gabriele D'Annunzio University	Gabriele d'Annunzio Univ
418	University of Ferrara	Univ Ferrara
419	University of Florence	Univ Florence
421	University of Genoa	Univ Genoa
422	University of L'Aquila	Univ l'Aquila
423	Università del Salento	Univ Salento
424	University of Messina	Univ Messina
426	Politecnico di Milano	Politec Milano
427	Università Cattolica del Sacro Cuore	Univ Cattolica Sacro Cuore
429	University of Milan	Univ Milan
430	University of Milano-Bicocca	Univ Milano-Bicocca
431	University of Modena and Reggio Emilia	Univ Modena & Reggio Emilia
433	"University of Campania ""Luigi Vanvitelli"""	Univ Campania Luigi Vanvitelli
435	University of Naples Federico II	Univ Naples Federico II
436	University of Padova	Univ Padova
437	University of Palermo	Univ Palermo
438	University of Parma	Univ Parma
439	University of Pavia	Univ Pavia
441	University of Pisa	Univ Pisa
446	Sapienza University of Rome	Sapienza Univ Rome
447	University of Rome Tor Vergata	Univ Rome Tor Vergata
448	Roma Tre University	Roma Tre Univ
450	University of Sassari	Univ Sassari
451	University of Siena	Univ Siena
453	Politecnico di Torino	Politec Torino
454	University of Turin	Univ Turin
455	University of Trento	Univ Trento
456	University of Trieste	Univ Trieste
457	University of Udine	Univ Udine
461	University of Verona	Univ Verona
472	Vilnius University	Vilnius Univ
473	University of Luxembourg	Univ Luxembourg
479	University of Amsterdam	Univ Amsterdam
480	Vrije Universiteit Amsterdam	Vrije Univ Amsterdam
482	Delft University of Technology	Delft Univ Technol
483	Eindhoven University of Technology	Eindhoven Univ Technol
484	University of Twente	Univ Twente
485	University of Groningen	Univ Groningen
487	Leiden University	Leiden Univ
488	Maastricht University	Maastricht Univ
489	Radboud University	Radboud Univ
490	Erasmus University Rotterdam	Erasmus Univ Rotterdam
491	Tilburg University	Tilburg Univ
493	Utrecht University	Utrecht Univ
494	Wageningen University & Research	Wageningen Univ & Res
495	Norwegian University of Life Sciences	Norwegian Univ Life Sci
497	University of Bergen	Univ Bergen
499	University of Oslo	Univ Oslo
500	University of Stavanger	Univ Stavanger
501	UiT The Arctic University of Norway	UiT Artic Univ Norway
502	Norwegian University of Science and Technology	Norwegian Univ Sci & Technol
506	Gdańsk University of Technology	Gdańsk Univ Technol
507	University of Gdańsk	Univ Gdańsk
509	Silesian University of Technology	Silesian Univ Technol
511	Medical University of Silesia	Med Univ Silesia
512	University of Silesia in Katowice	Univ Silesia Katowice
514	AGH University of Science and Technology	AGH Univ Sci & Technol
516	Jagiellonian University	Jagiellonian Univ
517	Łódź University of Technology	Łódź Univ Technol
518	University of Łódź	Univ Łódź
519	Maria Curie-Sklodowska University	Maria Curie-Sklodowska Univ
521	University of Warmia and Mazury in Olsztyn	Univ Warmia & Mazury Olsztyn
522	Adam Mickiewicz University in Poznań	Adam Mickiewicz Univ Poznan
525	Poznań University of Medical Sciences	Poznań Univ Med Sci
526	Poznań University of Technology	Poznań Univ Technol
531	Nicolaus Copernicus University in Toruń	Nicolaus Copernicus Univ Toruń
536	Medical University of Warsaw	Med Univ Warsaw
538	University of Warsaw	Univ Warsaw
539	Warsaw University of Technology	Warsaw Univ Technol
540	Warsaw University of Life Sciences	Warsaw Univ Life Sci
541	Wroclaw University of Environmental and Life Sciences	Wrocław Univ Environ & Life Sci
542	University of Wrocław	Univ Wrocław
543	Wrocław Medical University	Wrocław Med Univ
545	Wrocław University of Science and Technology	Wrocław Univ Sci & Technol
547	University of Aveiro	Univ Aveiro
548	University of Minho	Univ Minho
549	University of Coimbra	Univ Coimbra
559	Universidade Nova de Lisboa	Univ Nova Lisboa
561	University of Porto	Univ Porto
570	University of Bucharest	Univ Bucharest
571	Polytechnic University of Bucharest	Polytech Univ Bucarest
572	Babeș-Bolyai University	Babeș-Bolyai Univ
592	Nagoya Institute of Technology	Nagoya Inst Technol
594	Yokohama National University	Yokohama Natl Univ
608	Comenius University in Bratislava	Comenius Univ Bratislava
611	Slovak University of Technology in Bratislava	Slovak Univ Technol Bratislava
619	University of Ljubljana	Univ Ljubljana
620	University of Maribor	Univ Maribor
621	University of Alcalá	Univ Alcalá
622	University of Alicante	Univ Alicante
623	University of Extremadura	Univ Extremadura
625	Universitat Autònoma de Barcelona	Univ Aut Barcelona
626	University of Barcelona	Univ Barcelona
627	Universitat Politècnica de Catalunya, BarcelonaTech	Univ Politècnica Catalunya - BarcelonaTech
628	Pompeu Fabra University	Pompeu Fabra Univ
631	University of Cádiz	Univ Cádiz
634	University of Castilla-La Mancha	Univ Castilla-La Mancha
635	University of Cordoba	Univ Cordoba
637	University of Girona	Univ Girona
638	University of Granada	Univ Granada
640	University of Jaén	Univ Jaén
641	University of A Coruña	Univ A Coruña
642	Universidad de La Laguna	Univ La Laguna
643	University of Las Palmas de Gran Canaria	Univ Las Palmas Gran Canaria
644	University of the Basque Country	Univ Basque Country
646	University of Lleida	Univ Lleida
648	Universidad Autónoma de Madrid	Univ Aut Madrid
649	Complutense University of Madrid	Complutense Univ Madrid
650	National Distance Education University	Natl Distance Educ Univ
651	Technical University of Madrid	Tech Univ Madrid
654	University of Malaga	Univ Malaga
655	Rey Juan Carlos University	Rey Juan Carlos Univ
656	University of Murcia	Univ Murcia
657	University of Oviedo	Univ Oviedo
658	University of the Balearic Islands	Univ Balearic Islands
659	University of Navarra	Univ Navarra
662	University of Salamanca	Univ Salamanca
663	University of Cantabria	Univ Cantabria
664	University of Santiago de Compostela	Univ Santiago Compostela
665	University of Seville	Univ Seville
666	Universitat Rovira i Virgili	Univ Rovira & Virgili
667	Universitat Politècnica de València	Univ Politècnica València
668	University of Valencia	Univ Valencia
669	University of Valladolid	Univ Valladolid
670	Universidade de Vigo	Univ Vigo
671	University of Zaragoza	Univ Zaragoza
672	Chalmers University of Technology	Chalmers Univ Technol
673	University of Gothenburg	Univ Gothenburg
677	Linköping University	Linköping Univ
678	Luleå University of Technology	Luleå Univ Technol
679	Lund University	Lund Univ
682	Örebro University	Örebro Univ
684	Karolinska Institutet	Karolinska Inst
685	KTH Royal Institute of Technology	KTH Royal Inst Technol
687	Stockholm University	Stockholm Univ
688	Umeå University	Umeå Univ
689	Uppsala University	Uppsala Univ
690	University of Basel	Univ Basel
693	University of Bern	Univ Bern
695	University of Fribourg	Univ Fribourg
696	University of Geneva	Univ Geneva
697	Ecole Polytechnique Fédérale de Lausanne	Ecole Polytech Féd Lausanne
698	University of Lausanne	Univ Lausanne
703	Eidgenössische Technische Hochschule Zürich	ETH Zurich
704	University of Zurich	Univ Zurich
705	Çukurova University	Çukurova Univ
706	Sakarya University	Sakarya Univ
707	Ankara University	Ankara Univ
708	Bilkent University	Bilkent Univ
710	Gazi University	Gazi Univ
711	Hacettepe University	Hacettepe Univ
712	Middle East Technical University	Middle E Tech Univ
715	Akdeniz University	Akdeniz Univ
718	Bursa Uludağ University	Bursa Uludağ Univ
719	Pamukkale University	Pamukkale Univ
722	Fırat University	Fırat Univ
