watchers	created_at	assessment	author	editors	revisions	words	unique_references	url	minor_edits	characters	sections	references
0	2003-10-29	Start	SD6-Agent	192	289	741	10	https://en.wikipedia.org/wiki/University_of_Graz	93	5075	11	12
0	2012-05-27	???	محمد عبد الغني	16	67	140	7	https://ar.wikipedia.org/wiki/جامعة_غراتس	36	1532	9	7
0	2020-02-28		Raafat	3	7	35	4	https://arz.wikipedia.org/wiki/جامعة_جراتس	5	321	6	5
0	2015-10-16		Cekli829	6	15	70	19	https://az.wikipedia.org/wiki/Qrats_Universiteti	3	658	9	23
0	2017-09-02		Maxeeder	2	7	29	0	https://azb.wikipedia.org/wiki/قراتس_بیلیم‌یوردو	5	417	3	0
0	2016-04-08		Чаховіч Уладзіслаў	3	8	231	0	https://be.wikipedia.org/wiki/Грацкі_ўніверсітэт_Карла_і_Франца	3	3192	4	0
0	2016-03-28		Алиса Селезньова	7	16	230	3	https://bg.wikipedia.org/wiki/Грацки_университет	6	2675	4	4
0	2015-12-30		Lsjbot	2	6	189	10	https://ceb.wikipedia.org/wiki/University_of_Graz	1	1207	2	13
0	2015-07-03		Davcza	8	12	157	2	https://cs.wikipedia.org/wiki/Univerzita_Štýrský_Hradec	8	1158	5	3
0	2012-08-08		Viktor	4	8	183	0	https://cv.wikipedia.org/wiki/Карл_тата_Франц_ячĕллĕ_Грац_университечĕ	5	2558	4	0
0	2020-07-13		Inc	6	9	84	3	https://da.wikipedia.org/wiki/Karl-Franzens-Universität_Graz	7	625	1	5
57	2004-03-31		Plp	294	582	1073	17	https://de.wikipedia.org/wiki/Universität_Graz	220	9955	9	19
0	2010-04-10		Giannisf	24	38	53	0	https://el.wikipedia.org/wiki/Πανεπιστήμιο_του_Γκρατς	23	663	1	0
0	2021-07-24		Giorno2	3	19	505	0	https://eo.wikipedia.org/wiki/Universitato_de_Graz	0	3410	9	0
0	2009-07-31		Fadesga	44	64	141	1	https://es.wikipedia.org/wiki/Universidad_de_Graz	35	967	6	1
0	2016-10-19		Kk	3	4	18	0	https://et.wikipedia.org/wiki/Grazi_Ülikool	1	123	1	0
