grid_id;organization_name;established_year;closed_year;wikipedia_url;website_url
grid.1001.0;Australian National University;1946;NULL;http://en.wikipedia.org/wiki/Australian_National_University;http://www.anu.edu.au/
grid.1002.3;Monash University;1958;NULL;http://en.wikipedia.org/wiki/Monash_University;http://www.monash.edu/
grid.10025.36;University of Liverpool;1882;NULL;http://en.wikipedia.org/wiki/University_of_Liverpool;http://www.liv.ac.uk/
grid.1003.2;University of Queensland;1909;NULL;http://en.wikipedia.org/wiki/University_of_Queensland;http://www.uq.edu.au/
grid.1004.5;Macquarie University;1964;NULL;http://en.wikipedia.org/wiki/Macquarie_University;http://mq.edu.au/
grid.10041.34;University of La Laguna;1927;NULL;http://en.wikipedia.org/wiki/University_of_La_Laguna;http://www.ull.es/
grid.10049.3c;University of Limerick;1972;NULL;http://en.wikipedia.org/wiki/University_of_Limerick;http://www.ul.ie/
grid.1005.4;UNSW Sydney;1949;NULL;http://en.wikipedia.org/wiki/University_of_New_South_Wales;https://www.unsw.edu.au/
grid.1006.7;Newcastle University;1834;NULL;http://en.wikipedia.org/wiki/Newcastle_University;http://www.ncl.ac.uk/
grid.10067.30;Lviv Polytechnic National University;1844;NULL;http://en.wikipedia.org/wiki/Lviv_Polytechnic;http://www.lp.edu.ua/en
grid.1007.6;University of Wollongong;1951;NULL;http://en.wikipedia.org/wiki/University_of_Wollongong;https://www.uow.edu.au/index.html
grid.1008.9;University of Melbourne;1853;NULL;http://en.wikipedia.org/wiki/University_of_Melbourne;http://www.unimelb.edu.au/
grid.1009.8;University of Tasmania;1890;NULL;http://en.wikipedia.org/wiki/University_of_Tasmania;http://www.utas.edu.au/
grid.1010.0;University of Adelaide;1874;NULL;http://en.wikipedia.org/wiki/University_of_Adelaide;http://www.adelaide.edu.au/
grid.1011.1;James Cook University;1961;NULL;http://en.wikipedia.org/wiki/James_Cook_University;http://www.jcu.edu.au/
grid.1012.2;University of Western Australia;1911;NULL;http://en.wikipedia.org/wiki/University_of_Western_Australia;http://www.uwa.edu.au/
grid.1013.3;University of Sydney;1850;NULL;http://en.wikipedia.org/wiki/University_of_Sydney;http://sydney.edu.au/
grid.1014.4;Flinders University;1966;NULL;http://en.wikipedia.org/wiki/Flinders_University;http://www.flinders.edu.au/
grid.1017.7;RMIT University;1887;NULL;http://en.wikipedia.org/wiki/RMIT_University;https://www.rmit.edu.au/
