Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos	langlinks	total_views	local_views	int_views	rest_views	editors	revisions	words	unique_references	minor_edits	characters	sections	references	topic_specialisation	topic_specialisation_bio	topic_specialisation_eng	gini_production	established_year	age	Universities
Algeria	2122.0	244.0	404.0	437.0	1024.0	14.0	109.0	2122.0	1161.0	474.0	7749.0	1397.0	20.0	40.9	27.59	8.0	174646.0	53338.0	22136.0	99172.0	302.0	548.0	1468.0	16.0	206.0	11652.0	28.0	17.0	0.0	0.0	0.0	0.42	1974.0	48.0	1
Argentina	5325.0	1464.33	1714.33	296.33	1669.33	181.33	403.33	5325.0	2763.67	2761.0	32621.33	4724.67	105.33	49.8	29.96	33.67	970148.33	661796.33	153756.0	154596.0	1098.67	2415.33	16182.0	234.0	932.0	123674.33	176.67	275.33	0.0	0.0	0.0	0.37	1777.0	245.0	3
Australia	10643.62	4576.62	1928.44	729.69	1990.66	1418.59	1631.78	10643.62	6275.84	5537.78	114253.06	16134.31	491.0	35.97	23.57	24.69	787016.53	563584.25	563584.25	223432.28	1020.59	2430.81	7740.97	180.09	778.0	73047.03	125.19	206.41	0.22	0.22	0.0	0.35	1948.53	73.47	32
Austria	4813.42	2022.08	865.0	376.75	1239.0	310.92	685.83	4813.42	3416.42	3120.33	46766.25	6755.42	486.17	30.14	24.81	24.92	484334.92	141606.08	190930.5	151798.33	784.0	1467.67	6179.25	90.75	642.67	57807.83	127.5	102.0	0.42	0.25	0.17	0.47	1737.08	284.92	12
Belgium	11574.5	5033.12	1815.25	803.62	2655.38	1267.62	1807.88	11574.5	8157.5	7255.38	125545.75	17392.25	869.0	32.41	20.43	33.88	637905.88	220098.62	254747.62	163059.62	1172.38	2505.0	11146.62	151.0	901.75	93369.38	183.75	171.88	0.0	0.0	0.0	0.35	1765.75	256.25	8
Brazil	6191.32	2336.29	1697.35	428.87	1555.35	173.9	501.06	6191.32	2573.9	2859.94	39568.77	6085.74	174.45	41.58	39.63	17.81	262593.39	181464.94	48964.68	32163.77	517.32	1165.03	5650.61	108.42	421.19	40987.26	72.32	128.94	0.06	0.03	0.03	0.39	1950.65	71.35	31
Canada	10716.37	5058.5	1649.03	882.03	1952.0	1175.13	1538.93	10716.37	6024.1	5343.33	104658.97	15215.83	620.7	33.04	26.11	30.9	1394227.83	1079240.8	995113.6	314987.03	1493.07	3521.47	12254.33	282.07	1066.87	108298.37	156.0	354.93	0.33	0.33	0.0	0.32	1901.07	120.93	30
Chile	6064.0	1733.0	1416.0	539.33	1893.67	482.0	647.33	6064.0	4208.33	3427.33	49795.67	7024.67	195.67	29.6	26.16	46.0	714042.67	497178.67	128052.67	88811.33	1431.0	3171.67	12965.33	234.0	1472.0	99832.67	222.33	258.33	0.0	0.0	0.0	0.31	1883.0	139.0	3
China	8015.93	2176.82	1059.26	1169.41	3374.39	236.45	916.99	8015.93	2254.14	2897.22	70964.99	8844.76	365.86	26.05	15.77	8.15	224508.72	95825.93	93236.2	35446.59	320.74	799.61	2314.17	59.15	229.91	30804.67	58.18	71.09	0.57	0.17	0.4	0.51	1932.57	89.43	217
Colombia	2958.0	695.33	712.67	238.33	1117.0	195.0	274.33	2958.0	1974.0	1464.67	22655.0	3544.0	85.33	33.27	38.14	16.67	732263.0	540320.33	142913.0	49029.67	986.33	2707.0	9040.67	147.33	723.67	64354.33	88.67	216.0	0.0	0.0	0.0	0.34	1872.67	149.33	3
